ISBN;Book-Title;Book-Author;Year-Of-Publication;Image-URL-S;;;
786868716;The Five People You Meet in Heaven;Mitch Albom;2003;http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg;;;
8472238822;Tu Nombre Escrito En El Agua (La Sonrisa Vertical);Irene Gonzalez Frei;2002;http://images.amazon.com/images/P/8472238822.01.THUMBZZZ.jpg;;;
671864769;Relics (Star Trek: The Next Generation);Michael Jan Friedman;1992;http://images.amazon.com/images/P/0671864769.01.THUMBZZZ.jpg;;;
671521519;Bless The Beasts And Children : Bless The Beasts And Children;Glendon Swarthout;1995;http://images.amazon.com/images/P/0671521519.01.THUMBZZZ.jpg;;;
440222303;The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5);Neal Barrett Jr.;1996;http://images.amazon.com/images/P/0440222303.01.THUMBZZZ.jpg;;;
312953453;Blood Oath;David Morrell;1994;http://images.amazon.com/images/P/0312953453.01.THUMBZZZ.jpg;;;
446608653;The Alibi;Sandra Brown;2000;http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg;;;
446612545;The Beach House;James Patterson;2003;http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg;;;
446612618;A Kiss Remembered;Sandra Brown;2003;http://images.amazon.com/images/P/0446612618.01.THUMBZZZ.jpg;;;
451208080;The Short Forever;Stuart Woods;2003;http://images.amazon.com/images/P/0451208080.01.THUMBZZZ.jpg;;;
553584383;Dead Aim;IRIS JOHANSEN;2004;http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg;;;
671027360;"Angels &amp; Demons";Dan Brown;2001;http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg;;;
812575954;The Deal;Joe Hutsko;2000;http://images.amazon.com/images/P/0812575954.01.THUMBZZZ.jpg;;;
316735736;All He Ever Wanted: A Novel;Anita Shreve;2004;http://images.amazon.com/images/P/0316735736.01.THUMBZZZ.jpg;;;
743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002;http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg;;;
345372700;If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground;LEWIS GRIZZARD;1991;http://images.amazon.com/images/P/0345372700.01.THUMBZZZ.jpg;;;
380619458;The Mosquito Coast;Paul Theroux;1990;http://images.amazon.com/images/P/0380619458.01.THUMBZZZ.jpg;;;
446325805;If Love Were Oil, I'd Be About a Quart Low;Lewis Grizzard;1994;http://images.amazon.com/images/P/0446325805.01.THUMBZZZ.jpg;;;
451406923;Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims;Charles Hickey;1996;http://images.amazon.com/images/P/0451406923.01.THUMBZZZ.jpg;;;
671042858;The Girl Who Loved Tom Gordon;Stephen King;2000;http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg;;;
743249992;Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions;Ben Mezrich;2003;http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg;;;
840734530;The Oneprince (The Redaemian Chronicles, Book 1);Bill Hand;1992;http://images.amazon.com/images/P/0840734530.01.THUMBZZZ.jpg;;;
425184226;The Sum of All Fears;Tom Clancy;2002;http://images.amazon.com/images/P/0425184226.01.THUMBZZZ.jpg;;;
375500766;Care Packages : Letters to Christopher Reeve from Strangers and Other Friends;DANA REEVE;1999;http://images.amazon.com/images/P/0375500766.01.THUMBZZZ.jpg;;;
9724119378;O Deus Das Pequenas Coisas;Roy;1998;http://images.amazon.com/images/P/9724119378.01.THUMBZZZ.jpg;;;
451205197;Lady in Green/Minor Indiscretions (Signet Regency Romance);Barbara Metzger;2002;http://images.amazon.com/images/P/0451205197.01.THUMBZZZ.jpg;;;
60929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998;http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg;;;
60976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996;http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg;;;
61099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992;http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg;;;
671004573;Before I Say Good-Bye;Mary Higgins Clark;2001;http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg;;;
446601640;Slow Waltz in Cedar Bend;Robert James Waller;1994;http://images.amazon.com/images/P/0446601640.01.THUMBZZZ.jpg;;;
330484516;Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title);Rachel Harris;2001;http://images.amazon.com/images/P/0330484516.01.THUMBZZZ.jpg;;;
038572179X;Atonement : A Novel;IAN MCEWAN;2003;http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg;;;
393020371;Next: The Future Just Happened;Michael Lewis;2001;http://images.amazon.com/images/P/0393020371.01.THUMBZZZ.jpg;;;
1900850303;The Angelic Darkness;Richard Zimler;1999;http://images.amazon.com/images/P/1900850303.01.THUMBZZZ.jpg;;;
1903019699;The Soulbane Stratagem;Norman Jetmundsen;2000;http://images.amazon.com/images/P/1903019699.01.THUMBZZZ.jpg;;;
345425294;Gangster;Lorenzo Carcaterra;2002;http://images.amazon.com/images/P/0345425294.01.THUMBZZZ.jpg;;;
451410319;Hush;Anne Frasier;2002;http://images.amazon.com/images/P/0451410319.01.THUMBZZZ.jpg;;;
553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002;http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg;;;
8420639133;Temor y Temblor;Soren Kierkegaard;2001;http://images.amazon.com/images/P/8420639133.01.THUMBZZZ.jpg;;;
8476409419;Estudios sobre el amor;Jose Ortega Y Gaset;2001;http://images.amazon.com/images/P/8476409419.01.THUMBZZZ.jpg;;;
380778556;Rebecca;Daphne Du Maurier;1994;http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg;;;
451525221;Scarlet Letter;Nathaniel Hawthorne;1993;http://images.amazon.com/images/P/0451525221.01.THUMBZZZ.jpg;;;
2740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;http://images.amazon.com/images/P/0002740230.01.THUMBZZZ.jpg;;;
385336772;Diary of a Mad Mom-To-Be;Laura Wolf;2003;http://images.amazon.com/images/P/0385336772.01.THUMBZZZ.jpg;;;
440949424;Locked in Time (Laurel Leaf Books);LOIS DUNCAN;1986;http://images.amazon.com/images/P/0440949424.01.THUMBZZZ.jpg;;;
505524996;Contact;Susan Grant;2002;http://images.amazon.com/images/P/0505524996.01.THUMBZZZ.jpg;;;
140252800;The Brimstone Wedding;Barbara Vine;1997;http://images.amazon.com/images/P/0140252800.01.THUMBZZZ.jpg;;;
451452755;The Catswold Portal;Shirley Rousseau Murphy;1993;http://images.amazon.com/images/P/0451452755.01.THUMBZZZ.jpg;;;
812575482;Through Wolf's Eyes (Wolf);Jane Lindskold;2002;http://images.amazon.com/images/P/0812575482.01.THUMBZZZ.jpg;;;
044651747X;Puerto Vallarta Squeeze;Robert James Waller;1995;http://images.amazon.com/images/P/044651747X.01.THUMBZZZ.jpg;;;
60801263;Tree Grows In Brooklyn;Betty Smith;1988;http://images.amazon.com/images/P/0060801263.01.THUMBZZZ.jpg;;;
140250964;Snow Angels;Stewart O'Nan;1995;http://images.amazon.com/images/P/0140250964.01.THUMBZZZ.jpg;;;
446527165;Wish You Well;David Baldacci;2000;http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg;;;
671461494;The Hitchhiker's Guide to the Galaxy;Douglas Adams;1982;http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg;;;
385337639;Crow Lake (Today Show Book Club #7);Mary Lawson;2003;http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg;;;
039575514X;My Antonia;Willa Cather;1995;http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg;;;
451206673;Pen Pals;Olivia Goldsmith;2002;http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg;;;
330332775;Bridget Jones's Diary;Helen Fielding;1997;http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg;;;
486284735;Pride and Prejudice (Dover Thrift Editions);Jane Austen;1995;http://images.amazon.com/images/P/0486284735.01.THUMBZZZ.jpg;;;
671021745;EYE ON CRIME: HARDY BOYS #153;Franklin W. Dixon;1998;http://images.amazon.com/images/P/0671021745.01.THUMBZZZ.jpg;;;
671047612;Skin And Bones;Franklin W. Dixon;2000;http://images.amazon.com/images/P/0671047612.01.THUMBZZZ.jpg;;;
671504282;LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The);Franklin W. Dixon;1995;http://images.amazon.com/images/P/0671504282.01.THUMBZZZ.jpg;;;
399138684;The Cat Who Came to Breakfast (Cat Who... (Hardcover));Lilian Jackson Braun;1994;http://images.amazon.com/images/P/0399138684.01.THUMBZZZ.jpg;;;
785263292;If Singleness Is a Gift, What's the Return Policy?;Holly Virden;2003;http://images.amazon.com/images/P/0785263292.01.THUMBZZZ.jpg;;;
830714014;Always Daddy's Girl: Understanding Your Father's Impact on Who You Are;H. Norman Wright;1989;http://images.amazon.com/images/P/0830714014.01.THUMBZZZ.jpg;;;
345354931;Night Mare (Xanth Novels (Paperback));Piers Anthony;1990;http://images.amazon.com/images/P/0345354931.01.THUMBZZZ.jpg;;;
553278223;The Martian Chronicles;RAY BRADBURY;1984;http://images.amazon.com/images/P/0553278223.01.THUMBZZZ.jpg;;;
3150000335;Kabale Und Liebe;Schiller;0;http://images.amazon.com/images/P/3150000335.01.THUMBZZZ.jpg;;;
3257233051;Veronika Deschliesst Zu Sterben / Vernika Decides to Die;Paolo Coelho;2002;http://images.amazon.com/images/P/3257233051.01.THUMBZZZ.jpg;;;
342311360X;Die Liebe in Den Zelten;Gabriel Garcia Marquez;0;http://images.amazon.com/images/P/342311360X.01.THUMBZZZ.jpg;;;
3423116714;Die Klone der Joanna May. Roman.;Fay Weldon;1993;http://images.amazon.com/images/P/3423116714.01.THUMBZZZ.jpg;;;
3423241489;Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.;Arabella Weir;1998;http://images.amazon.com/images/P/3423241489.01.THUMBZZZ.jpg;;;
3426605686;Haifischfrauen.;Kiana Davenport;1996;http://images.amazon.com/images/P/3426605686.01.THUMBZZZ.jpg;;;
3453212150;Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.;Sue Townsend;2002;http://images.amazon.com/images/P/3453212150.01.THUMBZZZ.jpg;;;
60977493;The God of Small Things;Arundhati Roy;1998;http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg;;;
312872682;"The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel";Robert S. Levinson;2000;http://images.amazon.com/images/P/0312872682.01.THUMBZZZ.jpg;;;
316602906;The Big Bad Wolf: A Novel;James Patterson;2003;http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg;;;
316693006;Four Blind Mice;James Patterson;2002;http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg;;;
345311396;Private Screening;Richard North Patterson;1994;http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg;;;
345378490;Congo;Michael Crichton;1995;http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg;;;
345404793;Protect and Defend;Richard North Patterson;2001;http://images.amazon.com/images/P/0345404793.01.THUMBZZZ.jpg;;;
345433173;The Tall Pine Polka;Lorna Landvik;1999;http://images.amazon.com/images/P/0345433173.01.THUMBZZZ.jpg;;;
375400117;Memoirs of a Geisha;Arthur Golden;1997;http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg;;;
375705856;Plainsong (Vintage Contemporaries);KENT HARUF;2000;http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg;;;
380717018;Body of Evidence (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1992;http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg;;;
380718332;All That Remains (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1993;http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg;;;
380754509;The Case of the Lost Look-Alike (An Avon Camelot Book);Carol J. Farley;1988;http://images.amazon.com/images/P/0380754509.01.THUMBZZZ.jpg;;;
038076654X;Petals on the River;Kathleen E. Woodiwiss;1997;http://images.amazon.com/images/P/038076654X.01.THUMBZZZ.jpg;;;
380807866;The Elusive Flame;Kathleen E. Woodiwiss;1999;http://images.amazon.com/images/P/0380807866.01.THUMBZZZ.jpg;;;
